kode_kbli,nama_kbli
01111,Pertanian Jagung
01112,Pertanian Gandum
01113,Pertanian Kedelai
01114,Pertanian Kacang Tanah
01115,Pertanian Kacang Hijau
01116,Pertanian Aneka Kacang Hortikultura
01117,Pertanian Biji-bijian Penghasil Minyak Makan
01118,Pertanian Biji-bijian Penghasil Bukan Minyak Makan
01119,"Pertanian Serealia Lainnya, Aneka Kacang dan Biji-Bijian Penghasil Minyak Lainnya"
01121,Pertanian Padi Hibrida
01122,Pertanian Padi Inbrida
01131,Pertanian Hortikultura Sayuran Daun
01132,Pertanian Hortikultura Buah
01133,Pertanian Hortikultura Sayuran Buah
01134,Pertanian Hortikultura Sayuran Umbi
01135,Pertanian Aneka Umbi Palawija
01136,Pertanian Jamur
01137,Pertanian Bit Gula Dan Tanaman Pemanis Bukan Tebu
01139,"Pertanian Sayuran, Buah dan Aneka Umbi Lainnya"
01140,Perkebunan Tebu
01150,Perkebunan Tembakau
01160,Pertanian Tanaman Berserat
01191,Pertanian Tanaman Pakan Ternak
01192,Perbenihan Tanaman Pakan Ternak dan Pembibitan Bit (Bukan Bit Gula)
01193,Pertanian Tanaman Bunga
01194,Pertanian Pembibitan Tanaman Bunga
01199,Pertanian tanaman semusim lainnya ytdl
01210,Pertanian Buah Anggur
01220,Pertanian Buah-Buahan Tropis dan Subtropis
01230,Pertanian Buah Jeruk
01240,Pertanian Buah Apel dan Buah Batu (Pome and Stone Fruits)
01251,Pertanian Buah Beri
01252,Pertanian Buah Biji Kacang-Kacangan
01253,Pertanian Sayuran Tahunan
01259,Pertanian Buah Semak Lainnya
01261,Perkebunan Buah Kelapa
01262,Perkebunan Buah Kelapa Sawit
01269,Perkebunan Buah Oleaginous Lainnya
01270,Pertanian Tanaman Untuk Bahan Minuman
01281,Perkebunan Lada
01282,Perkebunan Cengkeh
01283,Pertanian Cabai
01284,Perkebunan Tanaman Aromatik/Penyegar
01285,Pertanian Tanaman Obat atau Biofarmaka Rimpang
01286,Pertanian Tanaman Obat atau Biofarmaka Non Rimpang
01287,Pertanian Tanaman Narkotika dan Tanaman Obat Terlarang
01289,"Pertanian Tanaman Rempah-Rempah, Aromatik/Penyegar, dan Obat Lainnya"
01291,Perkebunan Karet Dan Tanaman Penghasil Getah Lainnya
01299,Pertanian Cemara dan Tanaman Tahunan Lainnya
01301,Pertanian Tanaman Hias
01302,Pertanian Pengembangbiakan Tanaman
01411,Pembibitan Dan Budidaya Sapi Potong
01412,Pembibitan Dan Budidaya Sapi Perah
01413,Pembibitan Dan Budidaya Kerbau Potong
01414,Pembibitan Dan Budidaya Kerbau Perah
01420,Peternakan Kuda dan Sejenisnya
01430,Peternakan unta dan sejenisnya
01441,Pembibitan Dan Budidaya Domba Potong
01442,Pembibitan Dan Budidaya Kambing Potong
01443,Pembibitan Dan Budidaya Kambing Perah
01444,Pembibitan Dan Budidaya Domba Perah
01445,Produksi Bulu Domba Mentah/Raw Wool
01450,Peternakan Babi
01461,Budidaya Ayam Ras Pedaging
01462,Budidaya Ayam Ras Petelur
01463,Pembibitan Ayam Lokal dan Persilangannya
01464,Budidaya Ayam Lokal dan Persilangannya
01465,Pembibitan dan Budidaya Itik dan/atau Bebek
01466,Pembibitan Dan Budidaya Burung Puyuh
01467,Pembibitan Dan Budidaya Burung Merpati
01468,Pembibitan Ayam Ras
01469,Pembibitan Dan Budidaya Ternak Unggas Lainnya
01491,Pembibitan Dan Budidaya Burung Unta
01492,Pengusahaan Kokon/Kepompong Ulat Sutera
01493,Pembibitan Dan Budidaya Lebah
